"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000186185",14.1716079957067,-1.08356321552526,0.514867309154839,-2.10454848513095,0.0353306298857784,0.131811905304858
"ENSG00000275832",56.2873582055486,0.533582392085936,0.254782288986801,2.09426798937966,0.036236114188974,0.131811905304858
"ENSG00000008294",191.487435114678,0.338858890218997,0.162988373807802,2.07903718714676,0.0376139326109777,0.135911676501
"ENSG00000108306",26.7524488484672,0.757344526253288,0.365524047146264,2.07194172904919,0.0382708757670617,0.136877284447668
"ENSG00000218454",43.4706141721111,-0.59250756911755,0.28613790577613,-2.0707063173277,0.0383862495129993,0.136877284447668
"ENSG00000132471",85.0568467809423,0.481053345986226,0.234309986231604,2.05306377983706,0.0400663922054799,0.141934539708301
"ENSG00000132510",66.2936508684862,0.516816649501144,0.252092175497031,2.0501098397131,0.040353713415457,0.1420241082544
"ENSG00000136478",22.6058500929714,0.800894558083676,0.39191131436625,2.04356069530369,0.0409969655290062,0.143357131075622
"ENSG00000074370",11.1830416024705,1.110577065157,0.545695308645281,2.03515963498764,0.0418348131106424,0.144469767552075
"ENSG00000091622",30.089949299615,0.706696402554613,0.347266517190874,2.03502603208411,0.0418482537005089,0.144469767552075
"ENSG00000125398",61.0187777608788,0.56684470100932,0.280108704086105,2.02365971760404,0.0430051760032717,0.147524084770717
"ENSG00000108479",63.4297925318065,-0.509548598872256,0.252948289007195,-2.01443781601449,0.0439635874099231,0.149863297963386
"ENSG00000240445",46.897008528691,0.555697942152765,0.276794596187113,2.00761846440497,0.0446838509191059,0.151366544988471
"ENSG00000108592",44.4800200772737,-0.575567001996877,0.288895898544708,-1.99229897307734,0.0463382643164184,0.155995896021732
"ENSG00000108561",33.0955871762404,-0.697756436984987,0.35528005899564,-1.96396172348516,0.0495345309340935,0.161835214329675
"ENSG00000121057",27.3521880024714,0.706235335148679,0.357789121249773,1.97388711172036,0.0483945805750595,0.161835214329675
"ENSG00000129667",64.3557365411899,0.525204943100825,0.26681888396321,1.96839494753768,0.0490226127855667,0.161835214329675
"ENSG00000167900",10.8652349323092,-1.16540489072201,0.593476275144596,-1.96369246679333,0.0495657667504171,0.161835214329675
"ENSG00000182481",41.4120449394485,-0.667489508757967,0.338856041448958,-1.96983210304814,0.0488576160059417,0.161835214329675
"ENSG00000266943",50.5062330155733,-0.602363190718385,0.307474828115974,-1.95906505390804,0.0501051687326183,0.162616775168138
